ticker,promotion_stage,validation_lane,governance_role,recency_flag,entry_timing_bucket,entry_timing_zone,entry_hot_proto,entry_timing_score,shadow_readiness,shadow_probation_score,promotion_score,dynamic_status,recommendation,scan_algo_fit,scan_early_leader_fit,scan_early_leader_score,scan_quality_compounder_fit,scan_quality_compounder_score,scan_event_active,scan_event_quality_score,scan_event_quality_label,scan_hot_archetype,scan_hot_candidate_score,pit_cluster_key,pit_data_context_score,pit_low_float_flag,pit_fx_headwind_flag,core_latest_rank,core_rank_bridge_fit,core_rank_bridge_score,pit_listing_age_days,pit_earnings_snapshot_count,profile_count,source_type_count,recent_score,scan_entry_heat_flag,history_scans_seen,history_watch_scans,history_targeted_scans,history_probation_scans,history_consecutive_watch,history_consecutive_targeted,history_consecutive_probation,history_constructive_scans,history_hot_late_scans,history_avg_support_count,history_stage_progression,history_emergence_persistence_score,history_best_promotion_stage,metrics_carried_from_history,candidate_memory_score,full_delta_roi_pct,oos_delta_roi_pct,add_mean_delta_roi_2017_2025,add_mean_delta_sharpe_2017_2025,add_roi_wins_2017_2025,add_sharpe_wins_2017_2025
AXTI,approved_live,recent_accelerating,live_ready,recent_only,hot,hot_constructive,not_hot,3.338,shadow_building,1.2842,16834.9963,approved,add,high,weak,0.0,weak,0.0,0,0.0,inactive,not_hot,0.0,semiconductors,0.925,0,0,1.0,high,4.0,4148.0,2.0,3,6,15.121425351906591,1.0,6,6,6,6,6,6,6,6,0,4.6667,0.0,7.0,approved_live,1,251.58936666666668,396860.1389331076,6504.679492878313,0.0,0.0,0.0,0.0
006800.KS,approved_live,mixed_long,live_ready,,clean,clean,not_hot,5.0313,shadow_building,2.011,5416.1675,approved,add,high,weak,0.0,weak,0.0,0,0.0,inactive,not_hot,0.0,financial-services,0.8875,0,0,6.0,high,4.0,4148.0,1.0,3,5,3.5878753286345835,0.0,6,6,6,6,6,6,6,6,0,5.0,0.0,7.0,approved_live,1,0.0,122584.50675078548,1975.7674858548608,0.0,0.0,0.0,0.0
272210.KS,approved_live,mixed_long,live_ready,,clean,clean,not_hot,3.1104,shadow_building,2.122,5401.3683,approved,add,high,medium,7.1923330672324735,medium,7.172989528877736,1,-0.271,speculative,not_hot,1.5826529589256983,space-defense,0.8768,1,0,0.0,weak,0.0,2340.0,1.0,3,1,1.9749964137393632,0.0,6,6,4,4,6,4,4,6,0,3.5,3.0,6.5167,approved_live,1,443.55913333333336,122584.50675078548,1975.7674858548608,0.0,0.0,0.0,0.0
006400.KS,approved_live,mixed_long,live_ready,,constructive,constructive,not_hot,2.6815,shadow_building,1.4763,5380.4343,approved,add,high,medium,8.207797265850694,high,8.36091218665483,1,0.0535,supportive,not_hot,2.348008481410196,industrial-compounders,0.8875,0,0,0.0,weak,0.0,4148.0,1.0,3,2,1.2079304819370829,0.0,6,6,3,3,6,3,3,6,0,3.3333,4.5,6.1,approved_live,1,0.0,122584.50675078534,1975.767485854857,0.0,0.0,0.0,0.0
0568.HK,approved_live,mixed_long,live_ready,,constructive,constructive,not_hot,2.9846,shadow_building,1.6624,3818.299,approved,add,high,weak,0.0,weak,0.0,0,0.0,inactive,not_hot,0.0,oil-gas,0.8875,0,0,7.0,high,3.9,4148.0,1.0,3,3,3.706572212917873,0.0,6,6,6,6,6,6,6,6,0,3.0,0.0,7.0,approved_live,1,269.4359666666667,82296.69068113582,2105.670804296236,0.0,0.0,0.0,0.0
ONDS,approved_live,mixed_long,live_ready,,constructive,constructive,not_hot,2.0235,shadow_building,1.8132,2134.2079,watch,add,high,medium,7.8746832250168755,medium,8.040329294774446,1,-0.1937,speculative,not_hot,1.566621126248242,optical-networking,0.4875,0,0,0.0,weak,0.0,,1.0,1,3,3.2129382911644626,0.0,6,5,5,5,5,5,5,5,0,3.0,5.0,6.6167,approved_live,1,0.0,41670.10931318901,1774.9524533220251,0.0,0.0,0.0,0.0
2383.TW,approved_live,mixed_long,live_ready,,clean,clean,not_hot,4.4342,shadow_building,1.6886,1313.0285,approved,add,high,high,9.24856351298201,high,9.322256559795598,1,0.3072,high,not_hot,1.7307064876738016,technology,0.8875,0,0,0.0,weak,0.0,4148.0,1.0,3,4,2.7036814021507576,0.0,6,6,3,3,6,2,2,3,1,3.5,3.0,5.5333,approved_live,1,0.0,24413.139329322235,851.2914744489772,0.0,0.0,0.0,0.0
285A.T,approved_live,mixed_long,live_ready,,clean,clean,not_hot,6.2243,shadow_ready,2.483,481.512,approved,add,high,high,11.027898550724636,high,9.614402173913046,1,0.3021,high,not_hot,1.8233333333333333,semiconductors,0.766,0,0,0.0,weak,0.0,478.0,1.0,3,6,6.752061719023519,0.0,6,6,3,3,6,2,2,6,0,4.8333,5.5,6.1,approved_live,1,0.0,4301.375545496674,292.8279714883738,0.0,0.0,0.0,0.0
PLS.AX,targeted_integration,mixed_long,shadow_ready,,constructive,constructive,not_hot,2.5653,shadow_ready,1.9608,15499.4606,watch,watch,high,medium,7.736786792427213,high,8.382196543781006,1,-0.1259,neutral,not_hot,2.042155078456598,industrial-compounders,0.6375,0,0,0.0,weak,0.0,4148.0,1.0,3,5,1.7189947667039729,0.0,6,6,3,0,6,3,0,6,0,5.1667,2.5,5.4917,targeted_integration,1,0.0,383259.6084719219,-757.7322882088247,0.0,0.0,0.0,0.0
6857.T,targeted_integration,mixed_long,research_priority,,clean,clean,not_hot,3.1887,shadow_building,2.141,1427.0761,watch,watch,high,medium,7.3765395813603645,medium,8.101423630896686,1,-0.0945,neutral,not_hot,1.776833789939094,semiconductors,0.8875,0,0,0.0,weak,0.0,4148.0,1.0,3,5,1.4514686464478237,0.0,6,6,3,0,6,3,0,6,0,4.5,0.0,5.2,targeted_integration,1,0.0,30597.02775362873,-229.09911272514728,0.0,0.0,0.0,0.0
