ticker,monitor_bucket,in_current_scan,snapshots_seen,first_seen_snapshot,last_seen_snapshot,promotion_stage,prior_promotion_stage,stage_delta_vs_prev,dynamic_status,prior_dynamic_status,status_delta_vs_prev,validation_lane,governance_role,scan_candidate_track,scan_quality_compounder_fit,scan_quality_compounder_score,history_emergence_persistence_score,scan_event_quality_score,profile_count,pit_cluster_key,pit_free_float_ratio_current,pit_low_float_flag,pit_listing_age_days,pit_fx_return_21d,pit_fx_headwind_flag,pit_earnings_snapshot_count,pit_data_context_score,recent_score,promotion_score,dynamic_conviction_score,monitor_priority_score,needs_algo_attention
285A.T,quality_lane,1,9,2026-03-27,2026-04-11,approved_live,approved_live,0,approved,approved,0,mixed_long,live_ready,quality_compounder,high,9.6144,6.1,0.3021,3,semiconductors,0.5199,0,478.0,-0.0011,0,1,0.766,6.7521,481.512,33.1502,18.317,0
272210.KS,legacy_universe_gap,1,8,2026-03-28,2026-04-11,approved_live,approved_live,0,approved,approved,0,mixed_long,live_ready,persistent_leader,medium,7.173,6.5167,-0.271,3,space-defense,0.3915,1,2340.0,0.0014,0,1,0.8768,1.975,5401.3683,22.1326,17.7183,0
006400.KS,legacy_universe_gap,1,8,2026-03-28,2026-04-11,approved_live,approved_live,0,approved,approved,0,mixed_long,live_ready,persistent_leader,high,8.3609,6.1,0.0535,3,industrial-compounders,0.7854,0,4148.0,0.0014,0,1,0.8875,1.2079,5380.4343,21.9609,17.618,0
2383.TW,legacy_universe_gap,1,8,2026-03-28,2026-04-11,approved_live,approved_live,0,approved,approved,0,mixed_long,live_ready,quality_compounder,high,9.3223,5.5333,0.3072,3,technology,0.8398,0,4148.0,0.0027,0,1,0.8875,2.7037,1313.0285,28.5492,17.5445,0
006800.KS,legacy_selection_gap,1,8,2026-03-28,2026-04-11,approved_live,approved_live,0,approved,approved,0,mixed_long,live_ready,emerging_leader,weak,0.0,7.0,0.0,3,financial-services,0.7638,0,4148.0,0.0014,0,1,0.8875,3.5879,5416.1675,26.4053,16.927,0
ONDS,quality_lane,1,11,2026-03-23,2026-04-11,approved_live,approved_live,0,watch,watch,0,mixed_long,live_ready,persistent_leader,medium,8.0403,6.6167,-0.1937,1,optical-networking,,0,,0.0,0,1,0.4875,3.2129,2134.2079,24.1908,16.2927,0
FTI,quality_lane,1,11,2026-03-23,2026-04-11,targeted_integration,targeted_integration,0,approved,approved,0,mixed_long,research_priority,fringe,medium,8.078,5.9,0.0145,3,oil-gas,,0,,0.0,0,1,0.4875,0.9163,421.6263,21.1701,14.3991,0
3037.TW,quality_lane,1,8,2026-03-28,2026-04-11,targeted_integration,targeted_integration,0,watch,watch,0,mixed_long,research_priority,quality_compounder,high,8.6644,5.7333,0.0038,1,technology,,0,,0.0027,0,1,0.4875,2.8553,661.7978,22.0215,12.7818,0
TER,legacy_universe_gap,1,11,2026-03-23,2026-04-11,targeted_integration,targeted_integration,0,watch,watch,0,mixed_long,shadow_ready,quality_compounder,high,8.439,5.4917,-0.0358,3,semiconductors,0.9978,0,4148.0,0.0,0,1,0.8875,2.3662,502.2432,24.0563,12.6882,0
PLS.AX,quality_lane,1,9,2026-03-27,2026-04-11,targeted_integration,targeted_integration,0,watch,watch,0,mixed_long,shadow_ready,persistent_leader,high,8.3822,5.4917,-0.1259,3,industrial-compounders,0.9304,0,4148.0,0.0,0,1,0.6375,1.719,15499.4606,24.8999,12.6154,0
