ticker,recall_bucket,family,promotion_stage,dynamic_status,snapshots_seen,persistence_score,priority_score
272210.KS,missing_universe,space-defense,approved_live,approved,8.0,3.45,17.7183
006400.KS,missing_universe,industrial-compounders,approved_live,approved,8.0,3.45,17.618
2383.TW,missing_universe,technology,approved_live,approved,8.0,2.65,17.5445
006800.KS,missing_selection,financial-services,approved_live,approved,8.0,6.7,16.927
TER,missing_universe,semiconductors,targeted_integration,watch,11.0,3.3583,12.6882
2345.TW,missing_universe,optical-networking,targeted_integration,watch,8.0,3.45,12.4344
6857.T,missing_universe,semiconductors,targeted_integration,watch,9.0,3.57,12.343
UCTT,missing_universe,semiconductors,targeted_integration,prime_watch,11.0,5.5667,12.1748
PR,missing_universe,oil-gas,targeted_integration,watch,11.0,5.2833,12.0698
WBD,missing_universe,communication-services,targeted_integration,watch,11.0,5.4889,11.3275
6869.HK,missing_universe,optical-networking,targeted_integration,reject,11.0,3.3583,10.8081
FIX,missing_universe,industrials,targeted_integration,watch,14.0,3.5333,10.6741
000660.KS,missing_universe,semiconductors,targeted_integration,reject,8.0,3.45,10.2379
CIEN,missing_universe,optical-networking,targeted_integration,reject,14.0,3.6833,10.1293
5803.T,missing_universe,industrials,targeted_integration,reject,9.0,2.7667,10.0116
FORM,missing_universe,semiconductors,targeted_integration,reject,11.0,3.3,9.9665
STX,missing_universe,technology,targeted_integration,reject,14.0,3.3583,9.6399
