ticker,recall_bucket,family,in_current_scan,promotion_stage,dynamic_status,snapshots_seen,persistence_score,priority_score
INTC,missing_universe,semiconductors,1,watch_queue,approved,14.0,3.4667,11.0808
6443.TW,missing_universe,technology,1,watch_queue,approved,8.0,3.45,10.0011
5713.T,missing_universe,industrial-compounders,1,watch_queue,watch,9.0,3.395,9.4506
1605.T,missing_universe,oil-gas,1,watch_queue,review,9.0,3.4533,9.3539
VIAV,missing_universe,optical-networking,1,watch_queue,watch,13.0,1.7883,9.2366
042660.KS,missing_universe,space-defense,1,watch_queue,review,8.0,3.325,8.2236
OVV,missing_universe,oil-gas,1,watch_queue,watch,11.0,3.4,8.2213
034020.KS,missing_universe,industrial-compounders,1,watch_queue,reject,8.0,3.45,8.1599
CCO.TO,missing_universe,energy,1,watch_queue,review,11.0,1.2917,8.0142
SATS,missing_universe,communication-services,1,watch_queue,reject,11.0,5.2833,7.8837
9501.T,missing_universe,utilities,1,watch_queue,review,9.0,3.3617,7.4749
COHR,missing_universe,technology,1,watch_queue,reject,12.0,3.45,7.4435
AR,missing_universe,oil-gas,1,watch_queue,review,11.0,2.7667,6.8415
LRCX,missing_selection,semiconductors,1,watch_queue,watch,14.0,1.4,6.62
AMAT,missing_selection,semiconductors,1,watch_queue,watch,14.0,1.4,6.62
KLAC,missing_selection,semiconductors,1,watch_queue,watch,14.0,1.4,6.62
RIG,missing_universe,oil-gas,1,review_queue,review,11.0,1.9917,6.1455
SM,missing_universe,oil-gas,1,review_queue,review,11.0,3.35,6.1256
AAOI,missing_universe,optical-networking,1,watch_queue,reject,14.0,3.3583,6.0783
2382.TW,missing_universe,technology,1,review_queue,review,8.0,0.975,5.8758
0857.HK,missing_universe,oil-gas,1,review_queue,review,9.0,1.73,5.8415
8411.T,missing_universe,financial-services,1,review_queue,review,9.0,1.9483,5.6011
0883.HK,missing_universe,oil-gas,1,review_queue,review,9.0,1.73,5.5724
JCI,missing_universe,industrials,1,review_queue,review,14.0,1.9333,5.5495
C,missing_universe,financial-services,1,review_queue,review,11.0,1.9056,5.5281
