ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,industry_key,symbol,Name,Holding Percent,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,profile,recent_score,recent_r63,recent_r126,recent_r252,scan_algo_fit,scan_algo_compat_score,scan_algo_compat_score_v2,scan_latest_rank_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,scan_candidate_track,recommendation,full_delta_roi_pct,oos_delta_roi_pct,full_delta_sharpe,oos_delta_sharpe,full_delta_maxdd_pct,oos_delta_maxdd_pct,backtestable_now,recommendation_rank,source_profiles,profile_count,high_fit_profile_count,positive_profile_count,dynamic_conviction_score,dynamic_status,dynamic_status_rank,exchange,fullExchangeName,broker_tradeable,broker_min_market_cap,add_wf_available,add_mean_delta_roi_2017_2025,add_mean_delta_sharpe_2017_2025,add_mean_delta_maxdd_2017_2025,add_roi_wins_2017_2025,add_sharpe_wins_2017_2025,add_maxdd_wins_2017_2025,add_delta_roi_2026_ytd,add_delta_sharpe_2026_ytd,add_delta_maxdd_2026_ytd,promotion_score,promotion_stage,promotion_stage_rank,as_of
FIX,{'BE'},seed_peer,BE,,"Comfort Systems USA, Inc.",Strong Buy,0.0077598547,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,49674547200.0,,,,,,,,12.0,targeted_current,1.611431653813072,0.5583882722933611,0.8423604510639564,2.907024547322043,high,9.3,10.023153890553512,6.0,808.0,115.0,0.1423267326732673,1.4277062791682515,3.100906416522489,1.0,0.4180452631337455,0.7010642515498673,0.0,0.0089337969397553,0.0,0.0,persistent_leader,watch,43235.97982181666,1496.9037131262116,,,55.07769624097485,71.1891249706593,1.0,2,targeted_current,1,1,1,18.5729,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1897.7025,targeted_integration,3,2026-03-25
TER,"{'SNDK', 'LITE', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Teradyne, Inc.",Buy,0.0023455943,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,50119823360.0,,,,,,,,24.0,targeted_current,1.709169787990629,0.6392931224037737,1.4005153637025702,2.5527625450721154,high,8.882,10.016015947904709,6.0,324.0,48.0,0.1481481481481481,1.5458011389831463,2.715376488202696,0.8373272495716331,0.5602857500226347,0.9350136656734612,-0.0569354626499284,-0.0175897316866013,0.0,1.0,persistent_leader,watch,42730.96774317085,1496.9037131262116,,,55.12367134541643,71.1891249706593,1.0,2,targeted_current,1,1,1,18.8731,watch,3,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1877.8022,targeted_integration,3,2026-03-25
CIEN,"{'SNDK', 'LITE', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Ciena Corporation,Buy,0.0028735169,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,57758113792.0,,,,,,,,24.0,targeted_current,3.1495720184030835,0.851700167469641,2.1430314602589378,5.30504850201395,high,11.0,11.299445131714666,3.0,355.0,162.0,0.4563380281690141,2.8482953015877017,4.33014847991332,1.0,0.9051785059094204,1.4866516414602713,0.0,0.27922380809137,1.0,0.0,persistent_leader,watch,39586.89704667709,1496.9037131262116,,,55.54900170207407,71.1891249706593,1.0,2,targeted_current,1,1,1,21.486,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753.8523,targeted_integration,3,2026-03-25
STX,"{'SNDK', 'LITE', 'WDC'}",industry_top_growth|industry_top_performing|seed_peer,LITE|SNDK|WDC,,Seagate Technology Holdings plc,Buy,0.0043183276,technology,computer-hardware,,,,,3,3,LITE|SNDK|WDC,0,0,0,new,0.5124,4.829457364341085,416.49,475.354,90510729216.0,,,,,,,,26.5,targeted_current,1.8992445292508728,0.4715573696470028,0.8245298824244545,3.6878027558792255,high,10.455,10.93785140197106,5.0,236.0,45.0,0.1906779661016949,1.6746228297185706,2.4002580313112185,0.805885522088793,0.4152368710268185,0.709786389845674,-0.0679400672689224,0.0510328330218667,0.0,0.0,persistent_leader,watch,37415.6264134357,1587.2721676499834,,,55.15339786864028,71.1891249706593,1.0,2,targeted_current,1,1,1,20.4729,watch,3,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1675.8252,targeted_integration,3,2026-03-25
GEV,"{'BE', 'XLI'}",etf_holding|seed_peer,BE,XLI,GE Vernova Inc.,Buy,0.037730608,industrials,electrical-equipment-parts,GEV,GE Vernova Inc,0.0436343,BE,2,2,BE|XLI,0,0,0,new,,,,,239603073024.0,,,,,,,,20.0,targeted_current,0.9677722738680338,0.4172496874739178,0.4807945122029364,1.730011328730189,medium,7.756500000000001,8.588267405150825,10.0,147.0,7.0,0.0476190476190476,0.84250779071253,2.343851208986261,1.0,0.3000805958862966,0.4898001632653976,0.0,0.0661794334976053,0.0,0.0,persistent_leader,watch,36510.65230594267,1496.9037131262116,,,55.12367134541643,71.1891249706593,1.0,2,targeted_current,1,0,1,15.4707,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625.5872,watch_queue,2,2026-03-25
COHR,"{'SNDK', 'LITE', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Coherent Corp.,Buy,0.0023737422,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,47821934592.0,,,,,,,,24.0,targeted_current,1.7113915965341318,0.430935202078289,1.5005032161224063,2.5625081741737783,high,8.95,9.617809891848392,6.0,519.0,50.0,0.0963391136801541,1.5461428740550152,2.253182136223432,0.7550146047897328,0.5391033588240005,0.8910254747464386,-0.0857448883235935,0.0722749671381628,0.0,0.0,persistent_leader,,,,,,,,,0,targeted_current,1,1,0,15.7234,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7234,watch_queue,2,2026-03-25
GLW,"{'SNDK', 'LITE', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Corning Incorporated,Buy,0.0058507323,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,112481280000.0,,,,,,,,24.0,targeted_current,1.2413591450313342,0.6660633058493894,0.8182715898678627,1.9520946197857776,medium,6.62,7.979306300865278,7.0,40.0,0.0,0.0,1.1075407506204105,1.8553632991029336,0.765808060536773,0.4697024409053593,0.7747941152541309,-0.0819671788121294,-0.0284319391959536,0.0,1.0,emerging_leader,,,,,,,,,0,targeted_current,1,0,0,12.2574,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2574,watch_queue,2,2026-03-25
KEYS,"{'SNDK', 'LITE', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Keysight Technologies, Inc.",Buy,0.0023722562,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,49589215232.0,,,,,,,,24.0,targeted_current,0.7158915412004905,0.4648028038838565,0.6773187141720789,0.8800087368872187,medium,7.372999999999999,8.219200508006214,15.0,213.0,47.0,0.2206572769953051,0.6352523033363318,1.2912503817478738,0.864334275575484,0.3495711094426972,0.5491880454671181,-0.0474830035485805,-0.0102329237768143,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,11.3492,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3492,review_queue,1,2026-03-25
DELL,"{'SNDK', 'LITE', 'WDC'}",industry_top_performing|seed_peer,LITE|SNDK|WDC,,Dell Technologies Inc.,Buy,0.0055460325,technology,computer-hardware,,,,,3,2,LITE|SNDK|WDC,0,0,0,new,0.4365,,180.825,168.609,109105217536.0,,,,,,,,26.5,targeted_current,0.5462868440062079,0.4259536562341028,0.343903515019015,0.8088367668794529,low,4.906,6.009830418771368,28.0,270.0,34.0,0.1259259259259259,0.4681088645749696,0.8493445041622537,1.0,0.2408408214090706,0.3818084413773122,0.0,0.507263275388661,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,8.8478,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8478,review_queue,1,2026-03-25
INTC,"{'SNDK', 'LITE', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Intel Corporation,Hold,0.011029967,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,219837792256.0,,,,,,,,24.0,targeted_current,0.6998549024517138,0.3111081323537417,0.6252556620755516,0.968827527876862,low,3.7725,5.266440276479021,23.0,45.0,0.0,0.0,0.6132929786179914,0.9404300074798252,0.6510099748154133,0.2530571526496225,0.4314300448300638,-0.1221465088146053,0.0339332714148068,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,7.9959,review,2,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9959,review_queue,1,2026-03-25
