ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,industry_key,symbol,Name,Holding Percent,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,profile,recent_score,recent_r63,recent_r126,recent_r252,scan_algo_fit,scan_algo_compat_score,scan_latest_rank_if_added,scan_days_top15_if_added,scan_days_top5_if_added,recommendation,full_delta_roi_pct,oos_delta_roi_pct,full_delta_sharpe,oos_delta_sharpe,full_delta_maxdd_pct,oos_delta_maxdd_pct,backtestable_now,recommendation_rank,source_profiles,dynamic_status,as_of
KEYS,"{'LITE', 'WDC', 'FIEE', 'SNDK'}",seed_peer,FIEE|LITE|SNDK|WDC,,"Keysight Technologies, Inc.",Buy,0.0022438078,technology,computer-hardware,,,,,4,1,FIEE|LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,30.0,targeted_current,0.6200694117509005,0.3979247493363622,0.5661079412259813,0.7851032134830886,low,5.606333333333333,21.0,206.0,47.0,,,,,,,,,0,targeted_current,discovered,2026-03-21
DELL,"{'LITE', 'WDC', 'FIEE', 'SNDK'}",industry_top_performing|seed_peer,FIEE|LITE|SNDK|WDC,,Dell Technologies Inc.,Buy,0.0049252226,technology,computer-hardware,,,,,4,2,FIEE|LITE|SNDK|WDC,0,0,0,new,0.2525,,157.67,167.217,,,,,,,,,32.5,targeted_current,0.3628186755671834,0.2328563525015334,0.1934751149837703,0.5971433976834215,low,4.444333333333333,41.0,269.0,29.0,,,,,,,,,0,targeted_current,discovered,2026-03-21
EXTR,"{'LITE', 'FIEE'}",industry_top_growth,,,"Extreme Networks, Inc.",,,technology,communication-equipment,,,,,2,1,FIEE|LITE,0,0,0,new,-0.1165,1.40625,,,,,,,,,,,17.5,targeted_current,-0.174971444795255,-0.1165164939838327,-0.351410941789537,-0.0277594232066841,low,4.416666666666666,150.0,735.0,300.0,,,,,,,,,0,targeted_current,discovered,2026-03-21
PSTG,"{'WDC', 'SNDK'}",industry_top_growth,,,"Everpure, Inc.",,,technology,computer-hardware,,,,,2,1,SNDK|WDC,0,0,0,new,-0.0654,0.1408450704225353,,,,,,,,,,,17.5,targeted_current,-0.0371145090121422,-0.0556393040363201,-0.2806110403809334,0.2156444198687379,low,4.237,121.0,242.0,43.0,,,,,,,,,0,targeted_current,discovered,2026-03-21
MPWR,"{'LITE', 'WDC', 'FIEE', 'SNDK'}",seed_peer,FIEE|LITE|SNDK|WDC,,"Monolithic Power Systems, Inc.",Strong Buy,0.0024747085,technology,computer-hardware,,,,,4,1,FIEE|LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,30.0,targeted_current,0.3789814217875261,0.171663442681214,0.164603653889483,0.6970181792387253,weak,3.920166666666667,38.0,167.0,0.0,,,,,,,,,0,targeted_current,discovered,2026-03-21
INTC,"{'LITE', 'WDC', 'FIEE', 'SNDK'}",seed_peer,FIEE|LITE|SNDK|WDC,,Intel Corporation,Hold,0.010329641,technology,computer-hardware,,,,,4,1,FIEE|LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,30.0,targeted_current,0.5449399818215863,0.2169209392599655,0.4350670385944544,0.8188224463295284,weak,3.3885,23.0,37.0,0.0,,,,,,,,,0,targeted_current,discovered,2026-03-21
NTGR,"{'LITE', 'FIEE'}",industry_top_growth,,,"NETGEAR, Inc.",,,technology,communication-equipment,,,,,2,1,FIEE|LITE,0,0,0,new,-0.1504,35.66666666666667,,,,,,,,,,,17.5,targeted_current,-0.203633517964105,-0.1210459317885123,-0.2892223612039559,-0.1593384678120504,weak,3.35,157.0,245.0,0.0,,,,,,,,,0,targeted_current,discovered,2026-03-21
SNPS,"{'LITE', 'WDC', 'FIEE', 'SNDK'}",seed_peer,FIEE|LITE|SNDK|WDC,,"Synopsys, Inc.",Buy,0.0037953875,technology,computer-hardware,,,,,4,1,FIEE|LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,30.0,targeted_current,-0.0908850379798049,-0.0722846347596872,-0.1245339190010019,-0.0665363585686668,weak,2.7383333333333333,140.0,110.0,0.0,,,,,,,,,0,targeted_current,discovered,2026-03-21
MSI,"{'LITE', 'WDC', 'FIEE', 'SNDK'}",seed_peer,FIEE|LITE|SNDK|WDC,,"Motorola Solutions, Inc.",Buy,0.0035513944,technology,computer-hardware,,,,,4,1,FIEE|LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,30.0,targeted_current,0.0492527247366927,0.2079094712796243,-0.0467811237182842,0.0659581999202039,weak,2.736333333333333,106.0,86.0,0.0,,,,,,,,,0,targeted_current,discovered,2026-03-21
ADSK,"{'LITE', 'WDC', 'FIEE', 'SNDK'}",seed_peer,FIEE|LITE|SNDK|WDC,,"Autodesk, Inc.",Strong Buy,0.0024782019,technology,computer-hardware,,,,,4,1,FIEE|LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,30.0,targeted_current,-0.1539153949018675,-0.1535310630444182,-0.2323241736830296,-0.07569878204943,weak,2.1838333333333333,152.0,81.0,0.0,,,,,,,,,0,targeted_current,discovered,2026-03-21
CSCO,"{'LITE', 'WDC', 'FIEE', 'SNDK'}",seed_peer,FIEE|LITE|SNDK|WDC,,"Cisco Systems, Inc.",Buy,0.014461906,technology,computer-hardware,,,,,4,1,FIEE|LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,30.0,targeted_current,0.1647650463470251,0.0217105463931435,0.1306057248230259,0.2704516178479652,weak,2.0,88.0,0.0,0.0,,,,,,,,,0,targeted_current,discovered,2026-03-21
