ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,industry_key,symbol,Name,Holding Percent,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,profile,recent_score,recent_r63,recent_r126,recent_r252,scan_algo_fit,scan_algo_compat_score,scan_algo_compat_score_v2,scan_latest_rank_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,scan_candidate_track,recommendation,full_delta_roi_pct,oos_delta_roi_pct,full_delta_sharpe,oos_delta_sharpe,full_delta_maxdd_pct,oos_delta_maxdd_pct,backtestable_now,recommendation_rank,source_profiles,profile_count,high_fit_profile_count,positive_profile_count,dynamic_conviction_score,dynamic_status,dynamic_status_rank,exchange,fullExchangeName,broker_tradeable,broker_min_market_cap,add_wf_available,add_mean_delta_roi_2017_2025,add_mean_delta_sharpe_2017_2025,add_mean_delta_maxdd_2017_2025,add_roi_wins_2017_2025,add_sharpe_wins_2017_2025,add_maxdd_wins_2017_2025,add_delta_roi_2026_ytd,add_delta_sharpe_2026_ytd,add_delta_maxdd_2026_ytd,promotion_score,promotion_stage,promotion_stage_rank,as_of
FIX,{'BE'},seed_peer,BE,,"Comfort Systems USA, Inc.",Strong Buy,0.007099788,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,49674547200.0,,,,,,,,12.0,targeted_current,1.4299905264527513,0.3209591226004094,0.5828485714073248,2.831648183424348,high,9.4,10.118284844795667,6.0,811.0,115.0,0.1418002466091245,1.326912850443727,2.531479018387194,0.6163770118147143,0.2527639851628598,0.4418427575909325,-0.1342680458648499,-0.109271876378967,0.0,1.0,persistent_leader,watch,43235.97982181666,1496.9037131262116,,,55.07769624097485,71.1891249706593,1.0,2,targeted_current,1,1,1,18.3534,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1897.483,targeted_integration,3,2026-03-31
CIEN,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Ciena Corporation,Buy,0.00255858,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,57758113792.0,,,,,,,,24.0,targeted_current,2.65335014720308,0.5102615485827786,1.5716904025619889,4.80655419115432,high,11.0,11.942087235622084,4.0,358.0,165.0,0.4608938547486033,2.4913376202559028,3.3335251190420614,0.5254413644081204,0.6098809370476771,1.0224163373122983,-0.1660955224571578,0.0467450164105274,0.0,1.0,persistent_leader,watch,39586.89704667709,1496.9037131262116,,,55.54900170207407,71.1891249706593,1.0,2,targeted_current,1,1,1,21.8837,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.05,targeted_integration,3,2026-03-31
STX,"{'LITE', 'SNDK', 'WDC'}",industry_top_growth|industry_top_performing|seed_peer,LITE|SNDK|WDC,,Seagate Technology Holdings plc,Buy,0.0040233075,technology,computer-hardware,,,,,3,3,LITE|SNDK|WDC,0,0,0,new,0.3161,4.829457364341085,362.43,475.354,90510729216.0,,,,,,,,26.5,targeted_current,1.5765828504928,0.2662636822376116,0.6662682259614086,3.142057059151786,high,10.473,10.958624354444504,5.0,239.0,47.0,0.1966527196652719,1.461322440856639,1.9240080550606269,0.461674456614048,0.2621116013513354,0.466467021196586,-0.1884139401850831,-0.1113426933843136,0.0,1.0,persistent_leader,watch,37415.6264134357,1587.2721676499834,,,55.15339786864028,71.1891249706593,1.0,2,targeted_current,1,1,1,20.0291,watch,3,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1675.3814,targeted_integration,3,2026-03-31
GEV,"{'BE', 'XLI'}",etf_holding|seed_peer,BE,XLI,GE Vernova Inc.,Strong Buy,0.035060383,industrials,electrical-equipment-parts,GEV,GE Vernova Inc,0.0436343,BE,2,2,BE|XLI,0,0,0,new,,,,,239603073024.0,,,,,,,,20.0,targeted_current,0.8656448787825543,0.2319506051860103,0.3506122224625962,1.697524671900784,medium,7.888,8.799211680048879,10.0,150.0,7.0,0.0466666666666666,0.8031163312799421,1.966065634703728,0.6710707625334992,0.1686709264368531,0.2863551059051981,-0.1151252331132752,-0.0643887380631761,0.0,1.0,persistent_leader,watch,36510.65230594267,1496.9037131262116,,,55.12367134541643,71.1891249706593,1.0,2,targeted_current,1,0,1,15.4878,watch,3,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625.6043,watch_queue,2,2026-03-31
IBM,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,International Business Machines Corporation,Buy,0.011032153,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,233199353856.0,,,,,,,,24.0,targeted_current,-0.1252382273109275,-0.2223606055662246,-0.1655235410738418,-0.0363917244203646,weak,1.4,1.8119526866550344,144.0,0.0,0.0,0.0,-0.1346915827298025,-0.2728165307528211,0.294921144425057,0.0,-0.143305835937727,-0.2461792910803598,-0.0123225787066942,0.0,0.0,fringe,watch,35404.0002338469,1496.9037131262116,,,55.15339786864028,71.1891249706593,1.0,2,targeted_current,1,0,1,5.5122,discovered,1,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.3626,review_queue,1,2026-03-31
GLW,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,Corning Incorporated,Buy,0.0054650605,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,112481280000.0,,,,,,,,24.0,targeted_current,1.0394346662361245,0.435190392874212,0.620037876795708,1.7609535923574966,medium,6.801500000000001,7.909643507653404,8.0,43.0,0.0,0.0,0.9831437399719256,1.4804670744393629,0.4322402992054902,0.3111655468835157,0.5273306182779625,-0.1987158952780784,-0.1451655879920091,0.0,1.0,emerging_leader,,,,,,,,,0,targeted_current,1,0,0,11.7168,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7168,review_queue,1,2026-03-31
KEYS,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Keysight Technologies, Inc.",Buy,0.0022897322,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,49589215232.0,,,,,,,,24.0,targeted_current,0.5777833107876222,0.3075616988978109,0.554228737474703,0.736448690045447,medium,5.973,7.281680942685084,22.0,213.0,47.0,0.2206572769953051,0.5599706303072732,1.0125457729888248,0.5999800547248139,0.2430593880914869,0.3874925900464951,-0.1400069808463151,-0.1233852359578968,0.0,1.0,emerging_leader,,,,,,,,,0,targeted_current,1,0,0,10.8488,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8488,review_queue,1,2026-03-31
DELL,"{'LITE', 'SNDK', 'WDC'}",industry_top_performing|seed_peer,LITE|SNDK|WDC,,Dell Technologies Inc.,Buy,0.005407047,technology,computer-hardware,,,,,3,2,LITE|SNDK|WDC,0,0,0,new,0.3081,,164.66,170.565,109105217536.0,,,,,,,,26.5,targeted_current,0.4368252617308712,0.2740637315341092,0.2592536752783452,0.6957776132817781,low,5.055999999999999,6.025874340037342,31.0,270.0,34.0,0.1259259259259259,0.4144914751137052,0.6584649439070123,0.6995506234541171,0.1555300667315767,0.2511877438642858,-0.1051572817910589,0.1119665155729192,0.0,0.0,fringe,,,,,,,,,0,targeted_current,1,0,0,8.557,review,2,NYQ,NYQ,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.557,review_queue,1,2026-03-31
MPWR,"{'LITE', 'SNDK', 'WDC'}",seed_peer,LITE|SNDK|WDC,,"Monolithic Power Systems, Inc.",Strong Buy,0.0024395944,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,52868157440.0,,,,,,,,24.0,targeted_current,0.3301997702893646,0.0591977545625925,0.1293336044631619,0.6665669439789534,low,4.608,5.629776995714119,43.0,196.0,0.0,0.0,0.302644037243435,0.7087260733134391,0.4674878191555635,0.0459738403679674,0.0949484782632843,-0.1863792632955527,-0.1228625624190419,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,7.5952,review,2,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5952,review_queue,1,2026-03-31
CSX,{'BE'},seed_peer,BE,,CSX Corporation,Buy,0.011692062,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,72411136000.0,,,,,,,,12.0,targeted_current,0.2166330288105105,0.0860186132647924,0.1693620235371655,0.3292112418567146,low,3.7805,5.1866974617617405,73.0,141.0,0.0,0.0,0.2041844758852202,0.94427243229229,0.774976150409181,0.0683529525270539,0.1154187085378644,-0.0787583473567866,-0.0684000530072262,0.0,1.0,fringe,,,,,,,,,0,targeted_current,1,0,0,7.2499,review,2,NMS,NMS,True,1000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2499,review_queue,1,2026-03-31
