ticker,source_names,source_types,seed_hits,etf_hits,exchange,industryLink,industryName,quoteType,rank,regularMarketChange,regularMarketPercentChange,regularMarketPrice,shortName,name,ytd return,last price,sector_key,industry_key,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,language,region,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,bid,fiftyTwoWeekHigh,fiftyTwoWeekLow,averageAnalystRating,financialCurrency,ask,marketCap,hasPrePostMarketData,firstTradeDateMilliseconds,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketTime,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bidSize,askSize,market,messageBoardId,fullExchangeName,regularMarketChangePercent,longName,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,corporateActions,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,trailingAnnualDividendRate,trailingAnnualDividendYield,marketState,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,cryptoTradeable,displayName,symbol,lastCloseTevEbitLtm,lastClosePriceToNNWCPerShare,dividendYield,dividendDate,trailingPE,dividendRate,ipoExpectedDate,target price,growth estimate,rating,market weight,prevName,nameChangeDate,Name,Holding Percent,etf_name,seed,underlyingSymbol,sector,industry,priority_score,recent_bars,recent_score,recent_r63,recent_r126,recent_r252,scan_bars_if_added,scan_latest_rank_if_added,scan_latest_score_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top15_now_if_added,scan_top5_now_if_added,scan_rank_component,scan_persistence_component,scan_bars_component,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,recent_rel_r63,recent_rel_r126,recent_rel_r252,scan_algo_compat_score,scan_algo_compat_score_v2,scan_recent_score_pct,scan_emerging_score,scan_emerging_score_v2,scan_algo_fit,scan_candidate_track
AAOI,"{'us:Technology', 'LITE', 'day_gainers'}",custom_screen|industry_top_growth|industry_top_performing|predefined_screen,,,NGM,,,EQUITY,,17.3,,150.6,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc.",3.3201,150.6,technology,communication-equipment,3,4,LITE|day_gainers|us:Technology,0,0,0,new,en-US,US,Equity,Nasdaq Real Time Price,False,LOW,USD,149.97,154.75,9.711,2.3 - Buy,USD,151.83,11697874944.0,True,1380202200000.0,2.0,0.92297435,1775865589.0,151.99,1.3899994,1775851201.0,154.75,128.02 - 154.75,128.02,21783708.0,133.3,6.0,6.0,us_market,finmb_1043391,NasdaqGM,12.9782,"Applied Optoelectronics, Inc.",139.745,9651056.0,15018590.0,[],140.889,14.508186,9.711 - 154.75,-4.149994,-0.026817407,1238.6666,1772139600.0,1778184000.0,1778184000.0,1772141400.0,1772141400.0,True,0.0,0.0,CLOSED,-0.63,3.1975,0.815,184.78528,77675124.0,9.786,81.2128,69.38721,0.8543876,41.88665,108.713356,2.5954177,47.099297,15.389332,15.0,0.0,America/New_York,EDT,-14400000.0,False,False,False,Applied Optoelectronics,AAOI,-189.543074,222.71419464720032,,,,,,90.3,0.9285714285714288,,,,,,,,,,,,26.332367149758454,3086,7.412003913884416,3.5622542793428646,3.6741154685849864,13.07476717645462,3171,3.0,7.614373792420924,771.0,476.0,1,1,1.0,1.0,1.0,0.6173800259403373,5.891881184915135,4.138994232101416,1.0,1.0,2.7937398773983717,0.0,0.18573343493044425,1,0.0,3.629735217636627,3.6304325388512195,9.284402814618304,11.0,11.497380025940334,1.0,10.0,9.674999999999999,high,persistent_leader
CIEN,"{'WDC', 'SNDK', 'LITE', 'LRCX', 'growth_technology_stocks', 'MU', 'technology'}",predefined_screen|sector_top_company|seed_peer,LITE|LRCX|MU|SNDK|WDC,,NYQ,,,EQUITY,,8.63998,,496.02,Ciena Corporation,Ciena Corporation,,,technology,computer-hardware,7,3,LITE|LRCX|MU|SNDK|WDC|growth_technology_stocks|technology,0,0,0,new,en-US,US,Equity,Delayed Quote,False,LOW,USD,497.0,513.49,56.94,2.0 - Buy,USD,499.0,70168698880.0,True,855325800000.0,2.0,0.29837728,1775865573.0,497.5,1.480011,1775851202.0,508.64,475.22 - 508.64,475.22,2495634.0,487.38,300.0,400.0,us_market,finmb_26486,NYSE,1.77274,Ciena Corporation,498.11,3430280.0,2914240.0,[],439.08,7.711275,56.94 - 513.49,-17.470001,-0.034022085,747.89746,1772717400.0,1780576200.0,1780576200.0,1772717400.0,1772717400.0,True,0.0,0.0,CLOSED,1.59,8.25481,6.13636,80.83293,141398427.0,19.741,351.1618,144.85818,0.41251123,205.68974,290.33026,1.411496,60.0886,25.126387,15.0,0.0,America/New_York,EDT,-14400000.0,False,False,False,Ciena,CIEN,166.91802,-0.7642648064131079,,,311.96225,,,,,Buy,0.0031433622,,,,,,,,,,52.468599033816425,3086,4.355368299032087,1.2024775730497312,2.1067266543686527,8.1804553066867,3171,4.0,3.9266583897792287,366.0,173.0,1,1,1.0,1.0,1.0,0.4726775956284153,3.3613435441156145,5.752907340445007,1.0,0.9409972698733521,1.5572210870551286,0.0,0.45909684130734263,1,0.0,1.2350547255055502,2.077692086639865,5.708139410896396,10.975,11.306025957552427,0.9875,9.9375,9.6375,high,persistent_leader
AMPX,"{'BE', 'VRT', 'us:Industrials', 'day_gainers'}",custom_screen|industry_top_performing|predefined_screen,,,NYQ,,,EQUITY,,1.07,,17.22,"Amprius Technologies, Inc.","Amprius Technologies, Inc.",1.1825,17.22,industrials,electrical-equipment-parts,4,3,BE|VRT|day_gainers|us:Industrials,0,0,0,new,en-US,US,Equity,Delayed Quote,False,LOW,USD,17.17,19.76,1.97,1.1 - Strong Buy,USD,17.29,2359467264.0,True,1663248600000.0,2.0,0.2903667,1775865589.0,17.27,0.050001144,1775851202.0,17.435,16.25 - 17.435,16.25,5336548.0,16.15,300.0,700.0,us_market,finmb_54509692,NYSE,6.62539,"Amprius Technologies, Inc.",16.25,9033980.0,7586520.0,[],15.249999,7.741116,1.97 - 19.76,-2.540001,-0.12854256,614.5228,1772658000.0,1778184000.0,1778184000.0,1772717400.0,1772717400.0,True,0.0,0.0,CLOSED,-0.35,0.10333,-0.06667,-258.28708,137019004.0,0.772,14.5072,2.712799,0.18699673,10.81395,6.4060497,0.5923876,166.65053,22.305698,15.0,0.0,America/New_York,EDT,-14400000.0,False,False,False,Amprius,AMPX,-94.012459,37.78834022518045,,,,,,20.0,,,,Kensington Capital Acquisition Corp. IV,2026-04-10,,,,,,,,31.753623188405797,895,3.176373263164287,0.8636363354877703,0.38647336614935335,7.122641624017479,921,5.0,3.0967007079980378,282.0,149.0,1,1,1.0,1.0,1.0,0.5283687943262412,2.301725512896124,2.8370113648766826,0.6815568419653609,0.3949250289790956,0.7005498105369508,-0.11145510531212366,-0.0736955797734451,0,1.0,0.8912016400185772,0.37351578753617964,4.935197174694841,10.95,11.819257916892916,0.9625,9.8375,10.20655684196536,high,persistent_leader
STX,"{'WDC', 'SNDK', 'LITE', 'LRCX', 'MU', 'technology'}",industry_top_growth|industry_top_performing|sector_top_company|seed_peer,LITE|LRCX|MU|SNDK|WDC,,,,,,,,,,,Seagate Technology Holdings plc,0.827,503.13,technology,computer-hardware,6,4,LITE|LRCX|MU|SNDK|WDC|technology,0,0,0,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.792,4.829457364341085,Buy,0.005049268,,,,,,,,,,44.48647342995169,3086,3.2753028712584076,0.7686575130024493,1.2426119509471603,6.5613164706976335,3171,5.0,2.8855728138043797,247.0,55.0,1,1,1.0,0.865,1.0,0.22267206477732793,2.4576400797643347,4.215584444985402,1.0,0.5608718986029816,0.9359307258768479,0.0,0.3035469163188038,1,0.0,0.7948179725450306,1.2216531490237266,4.525038064114595,10.52,10.470945203939117,0.975,9.85,9.549999999999999,high,persistent_leader
COHR,"{'WDC', 'day_gainers', 'SNDK', 'LITE', 'LRCX', 'MU', 'technology'}",predefined_screen|sector_top_company|seed_peer,LITE|LRCX|MU|SNDK|WDC,,NYQ,,,EQUITY,,23.33,,307.5,Coherent Corp.,Coherent Corp.,,,technology,computer-hardware,7,3,LITE|LRCX|MU|SNDK|WDC|day_gainers|technology,0,0,0,new,en-US,US,Equity,Nasdaq Real Time Price,False,LOW,USD,307.64,310.984,50.81,1.7 - Buy,USD,308.86,57650671616.0,True,560179800000.0,2.0,0.44227165,1775865593.0,308.86,1.3599854,1775851202.0,310.984,275.69 - 310.984,275.69,7230797.0,284.17,200.0,200.0,us_market,finmb_309779,NYSE,8.20987,Coherent Corp.,295.95,7314587.0,6130240.0,[],256.69,5.051958,50.81 - 310.984,-3.4840088,-0.011203176,447.7378,1770238800.0,1778097600.0,1778097600.0,1770240600.0,1770240600.0,True,0.0,0.0,CLOSED,1.01,7.44657,5.35439,57.42951,187481852.0,45.562,247.292,60.207993,0.24346922,160.80804,146.69196,0.9122178,41.29418,6.7490454,15.0,0.0,America/New_York,EDT,-14400000.0,False,False,False,Coherent,COHR,85.573774,-12.334365929806536,,,304.45544,,,,,Buy,0.0025825892,II-VI Incorporated,2026-04-10,,,,,,,,52.66859903381642,3086,2.80290078020185,0.7759168977149091,1.6356390231079043,4.983654478539266,3171,5.0,2.625100559070863,530.0,51.0,1,1,1.0,0.853,1.0,0.09622641509433963,2.153737291957109,3.36045659467397,1.0,0.6081451350278342,1.0036631644653253,0.0,0.22310168855999302,1,0.0,0.8021847318275686,1.6110071039728706,3.3722437600061177,10.459,10.252713496111038,0.95,9.75,9.374999999999998,high,persistent_leader
SATS,"{'communication-services', 'us:Communication Services', 'day_gainers'}",custom_screen|predefined_screen|sector_top_company,,,NMS,,,EQUITY,,8.5,,128.59,EchoStar Corporation,EchoStar Corporation,,,communication-services,,3,3,communication-services|day_gainers|us:Communication Services,0,0,0,new,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,USD,120.38,132.43,14.9,2.2 - Buy,USD,138.33,37146546176.0,True,1199284200000.0,2.0,0.11945737,1775865589.0,128.7436,0.15361023,1775851201.0,132.43,117.76 - 132.43,117.76,9023847.0,120.09,2.0,2.0,us_market,finmb_38893720,NasdaqGS,7.07802,EchoStar Corporation,120.09,6589448.0,7217800.0,[],113.689995,7.6302013,14.9 - 132.43,-3.8399963,-0.028996425,465.47934,1772458200.0,1778157000.0,1778157000.0,1772467200.0,1772467200.0,True,0.0,0.0,CLOSED,-50.41,-1.46916,-3.02081,-42.568054,157527391.0,19.963,113.6836,14.906395,0.13112177,80.44705,48.142944,0.5984426,-87.52621,6.4414167,15.0,0.0,America/New_York,EDT,-14400000.0,False,False,False,EchoStar,SATS,-761.124803,-1.048871796004961,,,,,,,,Buy,0.0048363134,,,,,,,,,,25.41497584541063,3086,2.353176144585901,0.0995297109310731,0.6864261814805328,5.146749324518684,3171,6.0,2.2560589727544147,224.0,109.0,1,0,0.7,1.0,1.0,0.48660714285714285,1.687991462446739,3.9578091839990193,0.9455118060691216,0.39896177276057054,0.7156396144275257,-0.019070867875807473,0.14628272408693976,1,0.0,0.11579300798390313,0.6706653307095312,3.4914168214153642,9.325,9.544541290154957,0.9,8.325,8.239261806069122,high,persistent_leader
IREN,"{'most_actives', 'us:Financial Services', 'day_gainers'}",custom_screen|predefined_screen,,,NMS,,,EQUITY,,2.26,,39.32,IREN LIMITED,,,,,,3,2,day_gainers|most_actives|us:Financial Services,0,0,0,new,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,USD,39.17,76.87,5.24,1.8 - Buy,USD,39.43,13044770816.0,True,1637159400000.0,2.0,0.22889154,1775865597.0,39.41,0.09000015,1775851202.0,40.74,37.7 - 40.74,37.7,34865861.0,37.06,23.0,23.0,us_market,finmb_706254871,NasdaqGS,6.09821,IREN Limited,37.745,38240633.0,30521280.0,[],34.08,6.5038176,5.24 - 76.87,-37.550003,-0.48848706,583.82605,1770325200.0,1778702400.0,1778702400.0,1770328800.0,1770328800.0,True,0.0,0.0,CLOSED,1.44,1.265,-0.005,-7864.0,331759177.0,7.569,41.5381,-2.2181015,-0.0533992,39.581676,-0.2616768,-0.006611059,31.083004,5.194874,15.0,0.0,America/New_York,EDT,-14400000.0,False,False,False,IREN,IREN,-126.608255,-9.950725583577775,,,27.305553,,2021-11-17,,,,,Iris Energy Limited,2026-04-10,,,,,,,,22.03816425120773,1102,2.401441872638249,-0.13922943449785707,-0.3456482011153593,6.41886759995991,1136,6.0,2.215057954969498,440.0,225.0,1,0,0.7,1.0,1.0,0.5113636363636364,1.602375424517199,2.3073230115609853,0.0,0.0,0.06650950239411757,-0.375278033798073,-0.06336350348779463,0,0.0,-0.12649765720987494,-0.35176358355380277,4.420950973451737,9.3,9.451363636363636,0.9125,8.337499999999999,7.9937499999999995,medium,persistent_leader
FIX,"{'BE', 'VRT', 'industrials'}",sector_top_company|seed_peer,BE|VRT,,,,,,,,,,,"Comfort Systems USA, Inc.",,,industrials,electrical-equipment-parts,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buy,0.008022748,,,,,,,,,,23.986473429951694,3086,2.1229922374035968,0.6395845369812148,0.8858658035905396,4.101822521427844,3171,6.0,1.891090649997651,819.0,115.0,1,0,0.7,1.0,1.0,0.14041514041514042,1.5712199915992366,3.7363064056487447,1.0,0.4371514800007632,0.7322334216532016,0.0,0.13182504804287354,1,0.0,0.6638358601633527,0.8682410478609814,2.7278910010554336,9.275,9.181456028415596,0.8875,8.237499999999999,8.187499999999998,medium,persistent_leader
AA,"{'XME', 'basic-materials', 'us:Basic Materials', 'ALB'}",custom_screen|etf_holding|sector_top_company|seed_peer,ALB,XME,NYQ,,,EQUITY,,-0.239998,,73.03,Alcoa Corporation,Alcoa Corporation,,,basic-materials,specialty-chemicals,4,4,ALB|XME|basic-materials|us:Basic Materials,0,0,0,new,en-US,US,Equity,Nasdaq Real Time Price,False,LOW,USD,72.89,75.7,22.68,2.1 - Buy,USD,73.03,19269883904.0,True,-252322200000.0,2.0,0.32862914,1775865396.0,73.27,0.23999786,1775851240.0,75.19,72.86 - 75.19,72.86,3184757.0,73.27,100.0,200.0,us_market,finmb_369991357,NYSE,-0.327553,Alcoa Corporation,74.22,7376391.0,6615520.0,[],50.35,2.2200174,22.68 - 75.7,-2.6699982,-0.035270784,192.0032,1776369600.0,1776369600.0,1776369600.0,1776373200.0,1776373200.0,False,0.4,0.0054592607,CLOSED,4.37,6.21113,6.04566,12.07974,263862592.0,23.253,62.5962,10.4338,0.16668424,44.86325,28.166748,0.62783563,11.757924,3.1406698,15.0,0.0,America/New_York,EDT,-14400000.0,False,False,False,Alcoa,AA,,,0.55,1774483200.0,16.71167,0.4,,,,Buy,0.011134729,,,Alcoa Corp,0.0456612,State Street SPDR S&P Metals & ,ALB,,,,36.29130434782609,3086,1.3216095587977499,0.19544931407572075,0.9705881293336724,2.235711110622842,3171,8.0,1.280922028255433,397.0,192.0,1,0,0.7,1.0,1.0,0.4836272040302267,0.9692258326075931,2.2635756490239745,0.990641350981097,0.4185571124853449,0.6849406251760171,-0.0032755271566160538,0.1005123283242535,0,0.0,0.21313137133450288,0.9521715832798932,1.364327312571838,9.225,10.130396282110091,0.825,8.0,8.609391350981097,high,persistent_leader
TER,"{'WDC', 'SNDK', 'LITE', 'LRCX', 'MU', 'technology'}",sector_top_company|seed_peer,LITE|LRCX|MU|SNDK|WDC,,,,,,,,,,,"Teradyne, Inc.",,,technology,computer-hardware,6,2,LITE|LRCX|MU|SNDK|WDC|technology,0,0,0,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buy,0.0025808704,,,,,,,,,,41.98647342995169,3086,2.5241171698513094,0.7012158216806155,1.5448822593474851,4.41480275444048,3171,6.0,2.4519184988818807,335.0,48.0,1,0,0.7,0.844,1.0,0.14328358208955225,1.9363491590003759,3.6415312038258065,1.0,0.6350907305305259,1.0558705639946924,0.0,0.21855029018934458,1,0.0,0.7263787417762786,1.521098526647052,2.956584999965748,8.907,9.074888020407867,0.925,8.45,8.393749999999999,medium,persistent_leader
