ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,symbol,Name,Holding Percent,etf_name,industry_key,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,recent_bars,recent_score,recent_r63,recent_r126,recent_r252,scan_bars_if_added,scan_latest_rank_if_added,scan_latest_score_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top15_now_if_added,scan_top5_now_if_added,scan_rank_component,scan_persistence_component,scan_bars_component,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,recent_rel_r63,recent_rel_r126,recent_rel_r252,scan_algo_compat_score,scan_algo_compat_score_v2,scan_recent_score_pct,scan_emerging_score,scan_emerging_score_v2,scan_algo_fit,scan_candidate_track
AAOI,{'LITE'},industry_top_growth|industry_top_performing,,,"Applied Optoelectronics, Inc.",,,technology,,,,,communication-equipment,,1,2,LITE,0,0,0,new,1.8256,0.9285714285714288,98.5,90.3,,,,,,,,,11.5,3076,2.7746067434033037,1.4261786607483788,2.694263668753935,3.5291638593801338,3161,3.0,4.1250071286831105,761.0,466.0,1,1,1.0,1.0,1.0,0.6123521681997371,2.6412059710992497,1.5522133125309914,0.36090291278757003,1.0,1.773791410868034,-0.22368398052435046,0.6964883190646456,0,0.0,1.5826083979402603,2.7789192224142965,3.032791506363697,10.966666666666667,11.680560582538945,0.95,9.816666666666666,9.427569579454236,high,persistent_leader
FIEE,{'LITE'},industry_top_performing,,,,,,technology,,,,,communication-equipment,,1,1,LITE,0,0,0,new,1.1667,,6.955,,,,,,,,,,11.5,3076,6.222137407311313,1.664751035727802,1.5290908813476562,13.193877119066723,3161,3.0,4.093446357494532,921.0,626.0,1,1,1.0,1.0,1.0,0.6796959826275787,5.657452360382572,4.711761785444529,0.8575330837643642,0.6410113457582584,1.0077549184733505,-0.049863420682472515,0.08333330857543331,0,0.0,1.8365629104856627,1.58704602695048,11.638303418763117,10.933333333333334,11.998822640341151,0.9833333333333333,9.883333333333333,10.240866417097697,high,persistent_leader
CIEN,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Ciena Corporation,Buy,0.0026570582,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,0,0,0,new,,,,,,,,,,,,,37.5,3076,2.7444962777511708,0.6430888555082364,1.8523176945625157,4.687378572061292,3161,4.0,3.23312211311626,356.0,163.0,1,1,1.0,1.0,1.0,0.45786516853932585,2.542506350677711,3.6156423292988507,0.720080936371982,0.7368104581371986,1.2212087332784947,-0.0979716722698063,0.117419480550776,0,0.0,0.7490282745660151,1.9176797139794677,4.064072025431802,10.866666666666667,11.625333338578168,0.9333333333333333,9.666666666666666,9.83674760303865,high,persistent_leader
LASR,{'MU'},industry_top_performing,,,"nLIGHT, Inc.",,,technology,,,,,semiconductors,,1,1,MU,0,0,0,new,0.7329,,65.0,73.5,,,,,,,,,11.5,1990,3.208906934870413,0.6496831577299447,1.234123024579655,6.463302733731405,2047,3.0,3.9392420807438278,213.0,95.0,1,1,1.0,0.9849999999999999,1.0,0.4460093896713615,2.923482819409556,3.7191432037806913,0.7343952944173098,0.5531298535654319,0.9320602942443077,-0.0929616469539416,0.07392744999567546,0,0.0,0.7560477495007616,1.2853188618423874,5.6453643119311225,10.855,11.550524478461005,0.9666666666666667,9.8,10.017728627750643,high,persistent_leader
AMPX,"{'VRT', 'BE'}",industry_top_performing,,,"Amprius Technologies, Inc.",,,industrials,,,,,electrical-equipment-parts,,2,1,BE|VRT,0,0,0,new,1.1641,,17.075,20.0,,,,,,,,,17.5,885,2.0744922300722624,0.9564218971928182,0.5383227440228098,4.1696968825614364,911,5.0,2.738739784073477,272.0,139.0,1,1,1.0,1.0,1.0,0.5110294117647058,1.8871925571715802,1.9790420466695582,0.6579684807180135,0.45063343863505967,0.7952826126103352,-0.11971103174869524,0.5424953723947166,0,0.0,1.0825637053644859,0.5735740350189131,3.603125505227794,10.833333333333334,11.347857230043214,0.9166666666666666,9.583333333333334,9.591301814051345,high,persistent_leader
NDBI,"{'VRT', 'BE'}",industry_top_performing,,,,,,industrials,,,,,electrical-equipment-parts,,2,1,BE|VRT,0,0,0,new,1.6699,,13.75,,,,,,,,,,17.5,2168,110.33461481711876,1.7445108526609414,0.9642857142857142,273.99999590218073,2230,1.0,110.33461481711876,172.0,168.0,1,1,1.0,0.9019999999999999,1.0,0.9767441860465116,96.50890426027651,41.875856174968234,0.0,0.692585976189061,1.2411052816270258,-0.76890756302521,0.7449238325265628,0,0.0,1.8615501860059602,0.9833956901513039,239.35808986753696,10.706,11.676695771759949,1.0,10.0,9.5,high,persistent_leader
STX,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",industry_top_growth|industry_top_performing|sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Seagate Technology Holdings plc,Buy,0.004071463,technology,,,,,computer-hardware,,5,4,LITE|MU|SNDK|WDC|technology,0,0,0,new,0.3865,4.829457364341085,381.83,475.354,,,,,,,,,40.0,3076,1.6885353357332145,0.3498585810188857,0.7064818750207618,3.339927173802831,3161,5.0,2.067845887807538,237.0,46.0,1,1,1.0,0.838,1.0,0.1940928270042194,1.5313306542198621,2.0854229272272122,0.5852192999557697,0.3208023389339812,0.5598654621665158,-0.14517324501548057,-0.09508122623873627,0,1.0,0.436891752355846,0.7455866008591265,2.864294158512606,10.314,10.821305810338071,0.8833333333333333,9.450000000000001,9.701885966622436,high,persistent_leader
FIX,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"Comfort Systems USA, Inc.",Strong Buy,0.007360767,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5,3076,1.444046321469831,0.41850276247355467,0.7301947879435944,2.6706696344942054,3161,6.0,1.7264743430503982,809.0,115.0,1,0,0.7,1.0,1.0,0.14215080346106304,1.3172830052767468,2.668357514570763,0.8032731934842441,0.3311239621600038,0.5645759315144856,-0.06885438228051455,-0.05599060531509936,0,1.0,0.5099618202625018,0.7698429048207096,2.268383698239906,9.2,9.99445576351428,0.85,8.05,8.886606526817578,high,persistent_leader
OCC,{'LITE'},industry_top_performing,,,Optical Cable Corporation,,,technology,,,,,communication-equipment,,1,1,LITE,0,0,0,new,1.1865,,9.73,,,,,,,,,,11.5,3076,1.1783015596312427,1.1914413100993357,0.19094240530901274,2.159090838719426,3161,7.0,1.4477685575947399,344.0,162.0,1,0,0.7,1.0,1.0,0.47093023255813954,1.078989059811098,0.9571926405135687,0.7434183948068833,0.3585123358137133,0.6160715545532325,-0.038537583768086026,0.5298741097446695,0,0.0,1.3327361758717227,0.2182333346359504,1.8128712269559335,9.133333333333333,9.693755337597164,0.8166666666666667,7.883333333333333,8.076751728140216,high,persistent_leader
WATT,{'LITE'},industry_top_performing,,,Energous Corporation,,,technology,,,,,communication-equipment,,1,1,LITE,0,0,0,new,3.0138,,16.015,13.0,,,,,,,,,11.5,3017,1.3204222790729014,2.973945051087242,0.9796043371551035,0.8344788349835286,3100,7.0,1.4256660387145745,392.0,110.0,1,0,0.7,1.0,1.0,0.28061224489795916,1.309392624884698,1.1620532011982991,0.574161173423368,0.5681146434916488,0.8576622784078207,-0.14904358930182116,0.3073468889508928,0,0.0,3.230168218001423,1.0249677752355382,0.6334296779754953,9.1,9.585977735046969,0.8333333333333334,7.9,8.040827840090035,high,persistent_leader
POWL,"{'VRT', 'BE'}",industry_top_growth|industry_top_performing,,,"Powell Industries, Inc.",,,industrials,,,,,electrical-equipment-parts,,2,2,BE|VRT,0,0,0,new,0.6626,1.9271844660194175,529.9999,517.667,,,,,,,,,17.5,3076,1.116014670824336,0.5650834366987378,0.8049307025278332,1.7025642561836376,3161,7.0,1.2586146423409923,603.0,282.0,1,0,0.7,1.0,1.0,0.46766169154228854,1.0342662638240705,1.7937534727852427,0.6968886880740548,0.3597854525096997,0.6095460349091246,-0.10608895917408079,-0.03460860122096998,0,1.0,0.6659933963183775,0.8462914232672427,1.4063775381337447,9.033333333333333,10.018332842559209,0.8,7.733333333333333,8.396888688074055,high,persistent_leader
TER,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Teradyne, Inc.",Buy,0.0022429486,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,0,0,0,new,,,,,,,,,,,,,37.5,3076,1.5425028672677832,0.5145088407194585,1.2568124745204812,2.3421902732892472,3161,6.0,1.7989293960775279,325.0,48.0,1,0,0.7,0.844,1.0,0.1476923076923077,1.436204466357602,2.3769547306432384,0.6483785615105557,0.467342421762158,0.7884583087815495,-0.12306750347130546,-0.12306750347130546,0,1.0,0.6121579643233432,1.3085282497517015,1.9759039339806312,8.765333333333334,9.673924897655935,0.8666666666666667,8.133333333333333,8.798378561510557,high,persistent_leader
