ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,symbol,Name,Holding Percent,etf_name,industry_key,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score
NVDA,"{'MU', 'WDC', 'LITE', 'technology', 'VGT', 'SNDK'}",etf_holding|sector_top_company|seed_peer,LITE|MU|SNDK|WDC,VGT,NVIDIA Corporation,Strong Buy,0.19925424,technology,NVDA,NVIDIA Corp,0.1806971,Vanguard Information Tech ETF,computer-hardware,SNDK,6,3,LITE|MU|SNDK|VGT|WDC|technology,1,0,0,active,,,,,,,,,,,,,45.5
AAPL,"{'MU', 'WDC', 'LITE', 'technology', 'VGT', 'SNDK'}",etf_holding|sector_top_company|seed_peer,LITE|MU|SNDK|WDC,VGT,Apple Inc.,Buy,0.17741427,technology,AAPL,Apple Inc,0.1583723,Vanguard Information Tech ETF,computer-hardware,SNDK,6,3,LITE|MU|SNDK|VGT|WDC|technology,1,0,0,active,,,,,,,,,,,,,45.5
MSFT,"{'MU', 'WDC', 'LITE', 'technology', 'VGT', 'SNDK'}",etf_holding|sector_top_company|seed_peer,LITE|MU|SNDK|WDC,VGT,Microsoft Corporation,Strong Buy,0.12925397,technology,MSFT,Microsoft Corp,0.10394,Vanguard Information Tech ETF,computer-hardware,SNDK,6,3,LITE|MU|SNDK|VGT|WDC|technology,1,0,0,active,,,,,,,,,,,,,45.5
AVGO,"{'MU', 'WDC', 'LITE', 'technology', 'VGT', 'SNDK'}",etf_holding|sector_top_company|seed_peer,LITE|MU|SNDK|WDC,VGT,Broadcom Inc.,Strong Buy,0.07012541,technology,AVGO,Broadcom Inc,0.0434203,Vanguard Information Tech ETF,computer-hardware,SNDK,6,3,LITE|MU|SNDK|VGT|WDC|technology,1,0,0,active,,,,,,,,,,,,,45.5
MU,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",industry_top_growth|sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Micron Technology, Inc.",Buy,0.01911338,technology,,,,,computer-hardware,,5,3,LITE|MU|SNDK|WDC|technology,1,0,0,active,0.2476,5.846153846153847,,,,,,,,,,,40.0
ANET,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",industry_top_growth|sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,"Arista Networks, Inc.",Strong Buy,0.007397934,technology,,,,,computer-hardware,,5,3,LITE|MU|SNDK|WDC|technology,1,0,0,active,-0.058,0.2564841498559078,,,,,,,,,,,40.0
WDC,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",industry_top_performing|sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Western Digital Corporation,Buy,0.0045007668,technology,,,,,computer-hardware,,5,3,LITE|MU|SNDK|WDC|technology,1,0,0,active,0.6054,,276.57,321.0,,,,,,,,,40.0
SNDK,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",industry_top_performing|sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Sandisk Corporation,Buy,0.004300472,technology,,,,,computer-hardware,,5,3,LITE|MU|SNDK|WDC|technology,1,0,0,active,1.5787,,612.13,770.316,,,,,,,,,40.0
LITE,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",industry_top_growth|sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Lumentum Holdings Inc.,Buy,0.0023706942,technology,,,,,computer-hardware,,5,3,LITE|MU|SNDK|WDC|technology,1,0,0,active,0.8926,0.5643564356435644,,,,,,,,,,,40.0
ORCL,"{'MU', 'WDC', 'LITE', 'technology', 'SNDK'}",sector_top_company|seed_peer,LITE|MU|SNDK|WDC,,Oracle Corporation,Buy,0.019590605,technology,,,,,computer-hardware,,5,2,LITE|MU|SNDK|WDC|technology,1,0,0,active,,,,,,,,,,,,,37.5
