ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,industry_key,symbol,Name,Holding Percent,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score,recent_bars,recent_score,recent_r63,recent_r126,recent_r252,scan_bars_if_added,scan_latest_rank_if_added,scan_latest_score_if_added,scan_days_top15_if_added,scan_days_top5_if_added,scan_top15_now_if_added,scan_top5_now_if_added,scan_rank_component,scan_persistence_component,scan_bars_component,scan_top5_share,scan_rel_recent_score,scan_rr_score,scan_breakout252_component,scan_trend200_component,scan_dist_sma220,scan_dd60,scan_r21,scan_entry_heat_flag,scan_pullback_quality,recent_rel_r63,recent_rel_r126,recent_rel_r252,scan_algo_compat_score,scan_algo_compat_score_v2,scan_recent_score_pct,scan_emerging_score,scan_emerging_score_v2,scan_algo_fit,scan_candidate_track
CIEN,"{'LITE', 'WDC', 'SNDK'}",seed_peer,LITE|SNDK|WDC,,Ciena Corporation,Buy,0.0029543974,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,24.0,3081,3.4737712550712767,0.9145680040796236,1.9512259831469434,6.275918152491436,3166,4.0,3.6254950376962984,361.0,168.0,1,1,1.0,1.0,1.0,0.46537396121883656,3.0907610526122475,4.23370035006777,1.0,0.8580772999806362,1.419385755030345,0.0,0.3033329229382935,1,0.0,0.990732577956178,2.0080157861850823,5.223520556367447,11.0,11.280220341207219,1.0,10.0,9.7,high,persistent_leader
STX,"{'LITE', 'WDC', 'SNDK'}",industry_top_growth|industry_top_performing|seed_peer,LITE|SNDK|WDC,,Seagate Technology Holdings plc,Buy,0.0044864016,technology,computer-hardware,,,,,3,3,LITE|SNDK|WDC,0,0,0,new,0.5591,4.829457364341085,429.36,483.065,,,,,,,,,26.5,3081,2.012012070739859,0.5590978703410248,0.6717021938697973,4.078779047809338,3166,5.0,2.4661768528453654,242.0,50.0,1,1,1.0,0.85,1.0,0.2066115702479339,1.743443736878509,2.386333286078019,0.8898907437938461,0.4157409554749947,0.708254807653572,-0.03853823967215386,0.1449293996709724,1,0.0,0.62112127440572,0.7038703974809144,3.3441783075124976,10.5,10.237490589809237,0.975,9.875,9.389890743793845,high,persistent_leader
FIX,{'BE'},seed_peer,BE,,"Comfort Systems USA, Inc.",Buy,0.007515838,industrials,electrical-equipment-parts,,,,,1,1,BE,0,0,0,new,,,,,,,,,,,,,12.0,3081,1.7009422052906589,0.5184883313562474,0.6985963735901901,3.294514973958333,3166,6.0,1.6414698716432534,814.0,115.0,1,0,0.7,1.0,1.0,0.14127764127764128,1.4776325379532496,2.9009191191969084,0.896157799694995,0.3418501146826278,0.5819510835582058,-0.036344770106751745,-0.00922137014746871,0,0.0,0.578896223083168,0.7312820960825841,2.6733511372589556,9.35,9.976582389904214,0.95,8.5,9.158657799694994,high,persistent_leader
TER,"{'LITE', 'WDC', 'SNDK'}",seed_peer,LITE|SNDK|WDC,,"Teradyne, Inc.",Buy,0.002260809,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,24.0,3081,1.6966309393696526,0.5995556378214901,1.1939483848086812,2.7478511447047054,3166,6.0,1.832779444807008,330.0,48.0,1,0,0.7,0.844,1.0,0.14545454545454545,1.5094070968645723,2.467622902449437,0.7232198382896748,0.46737540513797243,0.7901337902292751,-0.09687305659861378,0.014449452713454658,0,1.0,0.6631885165110512,1.2361660588738408,2.2057574250320644,8.932,9.951611691511134,0.925,8.475,9.260719838289674,high,persistent_leader
OSS,"{'WDC', 'SNDK'}",industry_top_growth,,,"One Stop Systems, Inc.",,,technology,computer-hardware,,,,,2,1,SNDK|WDC,0,0,0,new,0.0641,12.0,,,,,,,,,,,17.5,2053,1.1064966026237524,0.06406685921236455,0.45523806980678017,2.2789700071464183,2111,8.0,1.1955430662291673,344.0,42.0,1,0,0.7,0.826,1.0,0.12209302325581395,0.9364541169890152,0.8563675260669354,0.010143013742175855,0.08876857372740272,0.19279692902867063,-0.3464499451902384,-0.08939218666827009,0,0.0,0.10639713880305113,0.48324090111480644,1.804695821956206,8.728,8.526139975737562,0.875,8.175,7.660143013742175,medium,persistent_leader
GEV,"{'XLI', 'BE'}",etf_holding|seed_peer,BE,XLI,GE Vernova Inc.,Strong Buy,0.036656782,industrials,electrical-equipment-parts,GEV,GE Vernova Inc,0.0436343,BE,2,2,BE|XLI,0,0,0,new,,,,,,,,,,,,,20.0,506,1.0066691795546154,0.37486420315255065,0.4824217951534775,1.8468190521567855,521,9.0,1.0194326212864075,153.0,7.0,1,0,0.7,0.5565,1.0,0.0457516339869281,0.8643114677026722,2.1936151750416197,0.922299240620948,0.24322371976958093,0.40037178525898165,-0.027195265782668177,0.06811129181198683,0,0.0,0.42955849760859,0.5109477170066188,1.4350517034457666,7.8695,8.614365410221245,0.85,8.05,8.672299240620948,medium,persistent_leader
GLW,"{'LITE', 'WDC', 'SNDK'}",seed_peer,LITE|SNDK|WDC,,Corning Incorporated,Buy,0.0059266174,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,24.0,3081,1.3489628144188948,0.6893558964521398,0.7795956843255507,2.248133403495616,3166,7.0,1.446124453221499,46.0,0.0,1,0,0.7,0.161,1.0,0.0,1.188176042962178,1.8893270300748972,0.7772059896534642,0.4411217637062543,0.7309731771168657,-0.07797790362128754,0.021264857145325333,0,1.0,0.756561172893065,0.8138400590286374,1.7783194619302747,6.783,8.135196652015832,0.9,8.3,9.052205989653464,medium,emerging_leader
KEYS,"{'LITE', 'WDC', 'SNDK'}",seed_peer,LITE|SNDK|WDC,,"Keysight Technologies, Inc.",Buy,0.0023299116,technology,computer-hardware,,,,,3,1,LITE|SNDK|WDC,0,0,0,new,,,,,,,,,,,,,24.0,2880,0.7360988184331737,0.433338189551721,0.6824955515033917,0.9410823998036819,2960,16.0,0.8242230769323757,213.0,47.0,0,0,0.15,0.841,1.0,0.22065727699530516,0.6481490723731501,1.2759232153056634,0.7990779332124693,0.30737515634071083,0.48708053174901145,-0.07032272337563572,-0.032168093717316104,0,1.0,0.49035867260355115,0.7148714493600976,0.6603218952710022,5.923,7.357229130727212,0.8,5.65,6.93657793321247,medium,fringe
DELL,"{'LITE', 'WDC', 'SNDK'}",industry_top_performing|seed_peer,LITE|SNDK|WDC,,Dell Technologies Inc.,Buy,0.0053896587,technology,computer-hardware,,,,,3,2,LITE|SNDK|WDC,0,0,0,new,0.3852,,174.37,170.542,,,,,,,,,26.5,2420,0.501482580337723,0.3852081261659934,0.1649519217634301,0.8961504659978805,2488,25.0,0.6432889518478179,270.0,34.0,0,0,0.15,0.8019999999999999,1.0,0.1259259259259259,0.4117659077668495,0.7540381108520653,0.850318698868434,0.19846888385880504,0.3171544509818751,-0.052388455396048084,0.18538401007598693,0,0.0,0.4403139184047451,0.18736883953375338,0.6218889706809978,5.7059999999999995,6.532098475562269,0.75,5.4,6.2003186988684345,low,fringe
UMAC,"{'WDC', 'SNDK'}",industry_top_performing,,,"Unusual Machines, Inc.",,,technology,computer-hardware,,,,,2,1,SNDK|WDC,0,0,0,new,0.0675,,13.6,24.2,,,,,,,,,17.5,535,0.4641371155939277,0.06750397376781758,-0.08479133945614503,1.2113821415570554,551,44.0,0.4930287085815012,181.0,160.0,0,0,0.0,0.9335,1.0,0.8839779005524862,0.3517321888276554,0.3586047374825792,0.0,0.07210042743949192,0.15685163258684742,-0.38600448687627864,-0.0735694755622911,0,0.0,0.10997098726658328,-0.06718017722462288,0.8915251556604697,5.2005,6.090938157016181,0.725,4.574999999999999,4.5125,low,fringe
